gene_pli	score	diseaseid	gene_dsi	protein_class_name	geneid	disease_class	disease_type	uniprotid	disease_class_name	disease_name	el	year_initial	source	ei	gene_dpi	protein_class	year_final	gene_symbol	disease_semantic_type
3.0324e-32	0.4	C0001126	0.493	Transporter	6559	C16;C18;C13;C12	phenotype	P55017	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Nutritional and Metabolic Diseases;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Renal tubular acidosis	strong	2016	CURATED	1.0	0.808	DTO_05007405	2016	SLC12A3	Disease or Syndrome
0.030057	0.4	C0001206	0.373	Signaling	2688	C05;C10;C19	disease	P01241	   Musculoskeletal Diseases;    Nervous System Diseases;    Endocrine System Diseases	Acromegaly		1978	CURATED	0.982	0.923	DTO_05007599	2020	GH1	Disease or Syndrome
0.2716	0.4	C0001206	0.318		3479	C05;C10;C19	disease	P05019	   Musculoskeletal Diseases;    Nervous System Diseases;    Endocrine System Diseases	Acromegaly		1991	CURATED	0.977	0.885		2020	IGF1	Disease or Syndrome
0.36163	0.4	C0001206	0.517	Chaperone	9049	C05;C10;C19	disease	O00170	   Musculoskeletal Diseases;    Nervous System Diseases;    Endocrine System Diseases	Acromegaly		2007	CURATED	1.0	0.769	DTO_05007613	2019	AIP	Disease or Syndrome
0.00011658	0.4	C0001231	0.356		5443	C04	disease	P01189	   Neoplasms	ACTH Syndrome, Ectopic		1974	CURATED	0.909	0.846		2019	POMC	Disease or Syndrome
0.39474	0.4	C0001418	0.3		1029	C04	group	P42771;Q8N726	   Neoplasms	Adenocarcinoma		1995	CURATED	0.941	0.885		2020	CDKN2A	Neoplastic Process
4.9255e-06	0.4	C0001418	0.42	Enzyme modulator	11186	C04	group	Q9NS23	   Neoplasms	Adenocarcinoma		2001	CURATED	0.962	0.808	DTO_05007584	2018	RASSF1	Neoplastic Process
0.99999	0.4	C0001418	0.303		1499	C04	group	P35222	   Neoplasms	Adenocarcinoma		1997	CURATED	0.969	0.885		2019	CTNNB1	Neoplastic Process
8.5294e-17	0.4	C0001418	0.357		1950	C04	group	P01133	   Neoplasms	Adenocarcinoma		1986	CURATED	0.966	0.923		2018	EGF	Neoplastic Process
0.36837	0.4	C0001418	0.295	Kinase	1956	C04	group	P00533	   Neoplasms	Adenocarcinoma		1988	CURATED	0.971	0.885	DTO_03300101	2020	EGFR	Neoplastic Process
0.0059892	0.4	C0001418	0.328	Kinase	2064	C04	group	P04626	   Neoplasms	Adenocarcinoma		1986	CURATED	0.973	0.923	DTO_03300101	2020	ERBB2	Neoplastic Process
0.9992	0.4	C0001418	0.324	Nuclear receptor	2099	C04	group	P03372	   Neoplasms	Adenocarcinoma		1991	CURATED	0.914	0.962	DTO_00102000	2020	ESR1	Neoplastic Process
4.4516e-08	0.4	C0001418	0.4	Nuclear receptor	2100	C04	group	Q92731	   Neoplasms	Adenocarcinoma		2002	CURATED	1.0	0.923	DTO_00102000	2018	ESR2	Neoplastic Process
0.0027394	0.4	C0001418	0.485		2520	C04	group	P01350	   Neoplasms	Adenocarcinoma		1986	CURATED	1.0	0.808		2018	GAST	Neoplastic Process
1.0	0.4	C0001418	0.373		324	C04	group	P25054	   Neoplasms	Adenocarcinoma		1992	CURATED	0.982	0.962		2019	APC	Neoplastic Process
0.00027377	0.4	C0001418	0.31	Signaling	3576	C04	group	P10145	   Neoplasms	Adenocarcinoma		2000	CURATED	1.0	0.962	DTO_05007599	2017	CXCL8	Neoplastic Process
0.00078803	0.4	C0001418	0.32	Enzyme modulator	3845	C04	group	P01116	   Neoplasms	Adenocarcinoma		1983	CURATED	0.948	0.923	DTO_05007584	2020	KRAS	Neoplastic Process
0.96998	0.4	C0001418	0.38	Kinase	4233	C04	group	P08581	   Neoplasms	Adenocarcinoma		1993	CURATED	0.947	0.846	DTO_03300101	2019	MET	Neoplastic Process
9.433e-10	0.4	C0001418	0.486	Enzyme modulator	4583	C04	group	Q02817	   Neoplasms	Adenocarcinoma		1994	CURATED	1.0	0.808	DTO_05007584	2019	MUC2	Neoplastic Process
0.99801	0.4	C0001418	0.344	Transcription factor	4609	C04	group	P01106	   Neoplasms	Adenocarcinoma		1988	CURATED	1.0	0.923	DTO_05007542	2018	MYC	Neoplastic Process
0.97606	0.4	C0001418	0.382	Nucleic acid binding	5111	C04	group	P12004	   Neoplasms	Adenocarcinoma		1992	CURATED	0.933	0.846	DTO_05007557	2019	PCNA	Neoplastic Process
0.051042	0.4	C0001418	0.426	Nuclear receptor	5241	C04	group	P06401	   Neoplasms	Adenocarcinoma		1992	CURATED	0.8	0.885	DTO_00102000	2018	PGR	Neoplastic Process
1.0	0.4	C0001418	0.292	Kinase	5290	C04	group	P42336	   Neoplasms	Adenocarcinoma		2002	CURATED	1.0	0.923	DTO_03300101	2019	PIK3CA	Neoplastic Process
9.0776e-11	0.4	C0001418	0.388		54474	C04	group	P35900	   Neoplasms	Adenocarcinoma		1993	CURATED	0.87	0.846		2020	KRT20	Neoplastic Process
0.029194	0.4	C0001418	0.358	Nuclear receptor	5468	C04	group	P37231	   Neoplasms	Adenocarcinoma		1998	CURATED	0.929	0.885	DTO_00102000	2016	PPARG	Neoplastic Process
0.25651	0.4	C0001418	0.305	Enzyme	5728	C04	group	P60484	   Neoplasms	Adenocarcinoma		1995	CURATED	0.98	0.923	DTO_05007624	2019	PTEN	Neoplastic Process
0.89057	0.4	C0001418	0.344	Enzyme modulator	595	C04	group	P24385	   Neoplasms	Adenocarcinoma		1990	CURATED	1.0	0.923	DTO_05007584	2019	CCND1	Neoplastic Process
0.55903	0.4	C0001418	0.291	Signaling	596	C04	group	P10415	   Neoplasms	Adenocarcinoma		1993	CURATED	0.911	0.885	DTO_05007599	2019	BCL2	Neoplastic Process
1.0	0.4	C0001418	0.32	Nucleic acid binding	6774	C04	group	P40763	   Neoplasms	Adenocarcinoma		2002	CURATED	1.0	0.923	DTO_05007557	2018	STAT3	Neoplastic Process
0.9934	0.4	C0001418	0.435	Kinase	6794	C04	group	Q15831	   Neoplasms	Adenocarcinoma		1998	CURATED	0.962	0.808	DTO_03300101	2019	STK11	Neoplastic Process
0.03685	0.4	C0001418	0.287	Signaling	7040	C04	group	P01137	   Neoplasms	Adenocarcinoma		1993	CURATED	1.0	0.962	DTO_05007599	2017	TGFB1	Neoplastic Process
0.8033	0.4	C0001418	0.231	Signaling	7124	C04	group	P01375	   Neoplasms	Adenocarcinoma		1991	CURATED	1.0	0.962	DTO_05007599	2017	TNF	Neoplastic Process
2.4085e-05	0.4	C0001418	0.266	Signaling	7422	C04	group	P15692	   Neoplasms	Adenocarcinoma		1996	CURATED	0.943	0.923	DTO_05007599	2019	VEGFA	Neoplastic Process
0.99728	0.4	C0001418	0.362	Transcription factor	8626	C04	group	Q9H3D4	   Neoplasms	Adenocarcinoma		2001	CURATED	0.919	0.769	DTO_05007542	2020	TP63	Neoplastic Process
0.99999	0.4	C0001430	0.303		1499	C04	group	P35222	   Neoplasms	Adenoma		1996	CURATED	0.959	0.885		2019	CTNNB1	Neoplastic Process
1.0	0.4	C0001430	0.373		324	C04	group	P25054	   Neoplasms	Adenoma		1990	CURATED	0.967	0.962		2018	APC	Neoplastic Process
0.2716	0.4	C0001430	0.318		3479	C04	group	P05019	   Neoplasms	Adenoma		1992	CURATED	0.875	0.885		2019	IGF1	Neoplastic Process
0.00033577	0.4	C0001430	0.56	Ion channel	3762	C04	group	P48544	   Neoplasms	Adenoma		2012	CURATED	1.0	0.577	DTO_01300327	2019	KCNJ5	Neoplastic Process
0.00078803	0.4	C0001430	0.32	Enzyme modulator	3845	C04	group	P01116	   Neoplasms	Adenoma		1991	CURATED	0.944	0.923	DTO_05007584	2020	KRAS	Neoplastic Process
2.9015e-07	0.4	C0001430	0.406	Signaling	5617	C04	group	P01236	   Neoplasms	Adenoma		1981	CURATED	0.981	0.885	DTO_05007599	2019	PRL	Neoplastic Process
0.55903	0.4	C0001430	0.291	Signaling	596	C04	group	P10415	   Neoplasms	Adenoma		1994	CURATED	0.95	0.885	DTO_05007599	2011	BCL2	Neoplastic Process
0.53235	0.4	C0001430	0.236	Transcription factor	7157	C04	group	P04637	   Neoplasms	Adenoma		1986	CURATED	0.911	0.962	DTO_05007542	2020	TP53	Neoplastic Process
3.0447e-15	0.4	C0001430	0.486	G-protein coupled receptor	7253	C04	group	P16473	   Neoplasms	Adenoma		1993	CURATED	0.926	0.808	DTO_02300001	2013	TSHR	Neoplastic Process
0.36163	0.4	C0001430	0.517	Chaperone	9049	C04	group	O00170	   Neoplasms	Adenoma		2007	CURATED	1.0	0.769	DTO_05007613	2019	AIP	Neoplastic Process
1.2598e-28	0.39	C0001418	0.431		4288	C04	group	P46013	   Neoplasms	Adenocarcinoma		1998	CURATED	1.0	0.808		2019	MKI67	Neoplastic Process
2.3058e-06	0.39	C0001418	0.425	Enzyme	5328	C04	group	P00749	   Neoplasms	Adenocarcinoma		1991	CURATED	1.0	0.923	DTO_05007624	2018	PLAU	Neoplastic Process
1.0	0.39	C0001418	0.455		8289	C04	group	O14497	   Neoplasms	Adenocarcinoma		2007	CURATED	0.889	0.846		2019	ARID1A	Neoplastic Process
0.84295	0.39	C0001418	0.459	Transcription factor	864	C04	group	Q13761	   Neoplasms	Adenocarcinoma		2003	CURATED	0.9	0.731	DTO_05007542	2017	RUNX3	Neoplastic Process
5.8751e-25	0.38	C0001418	0.525	Extracellular structure	10232	C04	group	Q13421	   Neoplasms	Adenocarcinoma		2001	CURATED	1.0	0.692	DTO_05007621	2018	MSLN	Neoplastic Process
0.99982	0.38	C0001418	0.378	Kinase	3791	C04	group	P35968	   Neoplasms	Adenocarcinoma		2008	CURATED	1.0	0.885	DTO_03300101	2019	KDR	Neoplastic Process
9.433e-10	0.38	C0001430	0.486	Enzyme modulator	4583	C04	group	Q02817	   Neoplasms	Adenoma		1994	CURATED	1.0	0.808	DTO_05007584	2017	MUC2	Neoplastic Process
1.0	0.37	C0001418	0.343	Kinase	2475	C04	group	P42345	   Neoplasms	Adenocarcinoma		2008	CURATED	1.0	0.885	DTO_03300101	2019	MTOR	Neoplastic Process
1.0	0.37	C0001418	0.396	Transcription factor	4790	C04	group	P19838	   Neoplasms	Adenocarcinoma		2002	CURATED	1.0	0.923	DTO_05007542	2017	NFKB1	Neoplastic Process
0.15499	0.37	C0001418	0.379	Enzyme	6648	C04	group	P04179	   Neoplasms	Adenocarcinoma		2002	CURATED	1.0	0.923	DTO_05007624	2018	SOD2	Neoplastic Process
2.146e-06	0.37	C0001418	0.353		6696	C04	group	P10451	   Neoplasms	Adenocarcinoma		1997	CURATED	1.0	0.885		2016	SPP1	Neoplastic Process
0.055854	0.36	C0001418	0.495	Enzyme modulator	332	C04	group	O15392	   Neoplasms	Adenocarcinoma		2002	CURATED	1.0	0.731	DTO_05007584	2019	BIRC5	Neoplastic Process
0.027363	0.36	C0001430	0.51		23600	C04	group	Q9UHK6	   Neoplasms	Adenoma		1998	CURATED	1.0	0.769		2007	AMACR	Neoplastic Process
0.94588	0.35	C0000768	0.531		2138	C16	group	Q99502	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality		1999	CURATED	1.0	0.731		2018	EYA1	Congenital Abnormality
0.99971	0.35	C0000768	0.539	Transcription factor	6299	C16	group	Q9NSC2	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality		2002	CURATED	1.0	0.808	DTO_05007542	2019	SALL1	Congenital Abnormality
0.65297	0.35	C0000768	0.496	Transcription factor	6495	C16	group	Q15475	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality		2003	CURATED	1.0	0.692	DTO_05007542	2019	SIX1	Congenital Abnormality
0.47968	0.35	C0001175	0.336		3558	C01;C20	group	P60568	   Infections;    Immune System Diseases	Acquired Immunodeficiency Syndrome		1985	CURATED	1.0	0.885		1999	IL2	Disease or Syndrome
0.68076	0.35	C0001206	0.42	Enzyme modulator	2778	C05;C10;C19	disease	O95467;P63092;P84996;Q5JWF2	   Musculoskeletal Diseases;    Nervous System Diseases;    Endocrine System Diseases	Acromegaly		1991	CURATED	0.8	0.885	DTO_05007584	2017	GNAS	Disease or Syndrome
0.70375	0.35	C0001206	0.631	G-protein coupled receptor	83550	C05;C10;C19	disease	Q96P66	   Musculoskeletal Diseases;    Nervous System Diseases;    Endocrine System Diseases	Acromegaly		2014	CURATED	1.0	0.538	DTO_02300001	2019	GPR101	Disease or Syndrome
0.13005	0.35	C0001418	0.276		3553	C04	group	P01584	   Neoplasms	Adenocarcinoma		1995	CURATED	1.0	0.962		2018	IL1B	Neoplastic Process
3.9314e-12	0.35	C0001418	0.453		4968	C04	group	O15527	   Neoplasms	Adenocarcinoma		2002	CURATED	1.0	0.808		2019	OGG1	Neoplastic Process
6.6485e-07	0.35	C0001418	0.531	Kinase	5587	C04	group	Q15139	   Neoplasms	Adenocarcinoma		2014	CURATED	1.0	0.846	DTO_03300101	2018	PRKD1	Neoplastic Process
7.2668e-09	0.35	C0001418	0.418	Nuclear receptor	8856	C04	group	O75469	   Neoplasms	Adenocarcinoma		2003	CURATED	1.0	0.846	DTO_00102000	2018	NR1I2	Neoplastic Process
0.079515	0.35	C0001430	0.443	Enzyme	7428	C04	group	P40337	   Neoplasms	Adenoma		1996	CURATED	1.0	0.846	DTO_05007624	2005	VHL	Neoplastic Process
1.0	0.35	C0001430	0.582	Ion channel	776	C04	group	Q01668	   Neoplasms	Adenoma		2013	CURATED	1.0	0.577	DTO_01300327	2017	CACNA1D	Neoplastic Process
0.00031401	0.34	C0001197	0.628	Transporter	55630	C16;C17	disease	Q6P5W5	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Skin and Connective Tissue Diseases	Acrodermatitis		2002	CURATED	1.0	0.692	DTO_05007405	2017	SLC39A4	Disease or Syndrome
0.27595	0.34	C0001403	0.612		23274	C20;C19	disease	Q2KHT3	   Immune System Diseases;    Endocrine System Diseases	Addison Disease		2008	CURATED	1.0	0.654		2011	CLEC16A	Disease or Syndrome
5.401e-09	0.34	C0001418	0.556		1548	C04	group	P11509	   Neoplasms	Adenocarcinoma		2002	CURATED	0.75	0.731		2009	CYP2A6	Neoplastic Process
1.7022e-05	0.34	C0001418	0.41	Enzyme	1588	C04	group	P11511	   Neoplasms	Adenocarcinoma		2001	CURATED	0.8	0.885	DTO_05007624	2014	CYP19A1	Neoplastic Process
0.99767	0.34	C0001418	0.472	Kinase	1612	C04	group	P53355	   Neoplasms	Adenocarcinoma		2004	CURATED	0.8	0.808	DTO_03300101	2018	DAPK1	Neoplastic Process
0.050966	0.34	C0001418	0.522	Enzyme	2878	C04	group	P22352	   Neoplasms	Adenocarcinoma		2005	CURATED	1.0	0.769	DTO_05007624	2018	GPX3	Neoplastic Process
0.00019768	0.34	C0001418	0.457	Enzyme	29108	C04	group	Q9ULZ3	   Neoplasms	Adenocarcinoma		2006	CURATED	1.0	0.808	DTO_05007624	2014	PYCARD	Neoplastic Process
0.99522	0.34	C0001418	0.447	Enzyme	4323	C04	group	P50281	   Neoplasms	Adenocarcinoma		2000	CURATED	1.0	0.769	DTO_05007624	2011	MMP14	Neoplastic Process
1.0	0.34	C0001430	0.601	Transporter	476	C04	group	P05023	   Neoplasms	Adenoma		2013	CURATED	1.0	0.808	DTO_05007405	2017	ATP1A1	Neoplastic Process
5.3576e-05	0.33	C0000768	0.552		10683	C16	group	Q9NYJ7	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality		2002	CURATED	1.0	0.654		2011	DLL3	Congenital Abnormality
0.64718	0.33	C0000768	0.473	Nucleic acid binding	2332	C16	group	Q06787	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality		2010	CURATED	1.0	0.769	DTO_05007557	2018	FMR1	Congenital Abnormality
8.0688e-09	0.33	C0001418	0.459		1571	C04	group	P05181	   Neoplasms	Adenocarcinoma		1997	CURATED	1.0	0.885		2005	CYP2E1	Neoplastic Process
0.94704	0.33	C0001418	0.528	Signaling	2254	C04	group	P31371	   Neoplasms	Adenocarcinoma		2009	CURATED	1.0	0.846	DTO_05007599	2019	FGF9	Neoplastic Process
0.88453	0.33	C0001418	0.538		3206	C04	group	P31260	   Neoplasms	Adenocarcinoma		2005	CURATED	1.0	0.692		2011	HOXA10	Neoplastic Process
0.00097345	0.33	C0001418	0.674	G-protein coupled receptor	5731	C04	group	P34995	   Neoplasms	Adenocarcinoma		2001	CURATED	1.0	0.538	DTO_02300001	2011	PTGER1	Neoplastic Process
0.99983	0.33	C0001418	0.478	Nuclear receptor	5915	C04	group	P10826	   Neoplasms	Adenocarcinoma		2004	CURATED	1.0	0.846	DTO_00102000	2017	RARB	Neoplastic Process
0.99994	0.33	C0001418	0.445	Nucleic acid binding	6776	C04	group	P42229	   Neoplasms	Adenocarcinoma		2004	CURATED	1.0	0.808	DTO_05007557	2012	STAT5A	Neoplastic Process
8.2884e-07	0.33	C0001430	0.545	Extracellular structure	6414	C04	group	P49908	   Neoplasms	Adenoma		2000	CURATED	1.0	0.769	DTO_05007621	2008	SELENOP	Neoplastic Process
0.47156	0.32	C0001175	0.288		3458	C01;C20	group	P01579	   Infections;    Immune System Diseases	Acquired Immunodeficiency Syndrome		1996	CURATED	1.0	0.962		2018	IFNG	Disease or Syndrome
0.00050202	0.32	C0001418	0.399	Signaling	1490	C04	group	P29279	   Neoplasms	Adenocarcinoma		2004	CURATED	1.0	0.846	DTO_05007599	2011	CCN2	Neoplastic Process
1.0	0.32	C0001418	0.406	Epigenetic regulator	1786	C04	group	P26358	   Neoplasms	Adenocarcinoma		2005	CURATED	1.0	0.885	DTO_05007378	2007	DNMT1	Neoplastic Process
0.99992	0.32	C0001418	0.54	Extracellular structure	2202	C04	group	Q12805	   Neoplasms	Adenocarcinoma		2007	CURATED	1.0	0.769	DTO_05007621	2009	EFEMP1	Neoplastic Process
	0.32	C0001418	0.371		3439	C04	group	P01562	   Neoplasms	Adenocarcinoma		1995	CURATED	1.0	0.923		2007	IFNA1	Neoplastic Process
5.6754e-11	0.32	C0001418	0.572	Enzyme	51196	C04	group	Q9P212	   Neoplasms	Adenocarcinoma		2010	CURATED	1.0	0.654	DTO_05007624	2017	PLCE1	Neoplastic Process
4.1545e-06	0.32	C0001418	0.566		563	C04	group	P25311	   Neoplasms	Adenocarcinoma		2008	CURATED	1.0	0.769		2008	AZGP1	Neoplastic Process
0.99998	0.32	C0001418	0.385		5781	C04	group	Q06124	   Neoplasms	Adenocarcinoma		2014	CURATED	1.0	0.923		2016	PTPN11	Neoplastic Process
0.00078816	0.32	C0001418	0.525		634	C04	group	P13688	   Neoplasms	Adenocarcinoma		2007	CURATED	1.0	0.731		2011	CEACAM1	Neoplastic Process
9.6905e-08	0.32	C0001418	0.641		7367	C04	group	O75795	   Neoplasms	Adenocarcinoma		2007	CURATED	1.0	0.577		2019	UGT2B17	Neoplastic Process
3.7236e-06	0.32	C0001418	0.404	Enzyme	841	C04	group	Q14790	   Neoplasms	Adenocarcinoma		2005	CURATED	1.0	0.923	DTO_05007624	2013	CASP8	Neoplastic Process
1.2059e-06	0.32	C0001430	0.447	Enzyme	240	C04	group	P09917	   Neoplasms	Adenoma		2007	CURATED	1.0	0.885	DTO_05007624	2019	ALOX5	Neoplastic Process
2.247e-09	0.32	C0001430	0.617	Transporter	489	C04	group	Q93084	   Neoplasms	Adenoma		2005	CURATED	1.0	0.577	DTO_05007405	2014	ATP2A3	Neoplastic Process
0.12642	0.31	C0000768	0.522		2348	C16	group	P15328	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality		2010	CURATED	1.0	0.885		2018	FOLR1	Congenital Abnormality
0.00053161	0.31	C0000786	0.423	G-protein coupled receptor	185	C13	phenotype	P30556	   Female Urogenital Diseases and Pregnancy Complications	Spontaneous abortion		2004	CURATED	1.0	0.846	DTO_02300001	2008	AGTR1	Pathologic Function
0.044127	0.31	C0000786	0.39		3481	C13	phenotype	P01344	   Female Urogenital Diseases and Pregnancy Complications	Spontaneous abortion		2008	CURATED	1.0	0.885		2008	IGF2	Pathologic Function
9.1772e-05	0.31	C0000809	0.663		50511	C13	disease	Q8IZU3	   Female Urogenital Diseases and Pregnancy Complications	Abortion, Habitual		2009	CURATED	1.0	0.385		2009	SYCP3	Disease or Syndrome
6.7246e-07	0.31	C0000832	0.378		4846	C13	phenotype	P29474	   Female Urogenital Diseases and Pregnancy Complications	Abruptio Placentae		2001	CURATED	1.0	0.885		2005	NOS3	Pathologic Function
3.739e-14	0.31	C0000832	0.595		635	C13	phenotype	Q93088	   Female Urogenital Diseases and Pregnancy Complications	Abruptio Placentae		2007	CURATED	1.0	0.731		2007	BHMT	Pathologic Function
0.00081103	0.31	C0001144	0.361		114548	C17	disease	Q96P20	   Skin and Connective Tissue Diseases	Acne Vulgaris		2016	CURATED	1.0	0.962		2019	NLRP3	Disease or Syndrome
0.34491	0.31	C0001193	0.397	Transcription factor	7291	C16;C05	disease	Q15672	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Musculoskeletal Diseases	Apert syndrome		2005	CURATED	1.0	0.846	DTO_05007542	2013	TWIST1	Congenital Abnormality
1.3618e-07	0.31	C0001403	0.536		4261	C20;C19	disease	P33076	   Immune System Diseases;    Endocrine System Diseases	Addison Disease		2008	CURATED	1.0	0.808		2008	CIITA	Disease or Syndrome
0.81963	0.31	C0001418	0.456		1028	C04	group	P49918	   Neoplasms	Adenocarcinoma		2011	CURATED	1.0	0.846		2019	CDKN1C	Neoplastic Process
0.2189	0.31	C0001418	0.608	Kinase	1152	C04	group	P12277	   Neoplasms	Adenocarcinoma		1982	CURATED	1.0	0.615	DTO_03300101	2004	CKB	Neoplastic Process
8.4269e-11	0.31	C0001418	0.619	Enzyme	1592	C04	group	O43174	   Neoplasms	Adenocarcinoma		2008	CURATED	1.0	0.577	DTO_05007624	2008	CYP26A1	Neoplastic Process
1.914e-05	0.31	C0001418	0.481	Enzyme	2023	C04	group	P06733	   Neoplasms	Adenocarcinoma		2004	CURATED	1.0	0.885	DTO_05007624	2016	ENO1	Neoplastic Process
1.2059e-06	0.31	C0001418	0.447	Enzyme	240	C04	group	P09917	   Neoplasms	Adenocarcinoma		2008	CURATED	1.0	0.885	DTO_05007624	2018	ALOX5	Neoplastic Process
0.99257	0.31	C0001418	0.432		3329	C04	group	P10809	   Neoplasms	Adenocarcinoma		2004	CURATED	1.0	0.808		2017	HSPD1	Neoplastic Process
0.00054909	0.31	C0001418	0.429		335	C04	group	P02647	   Neoplasms	Adenocarcinoma		2003	CURATED	1.0	0.885		2004	APOA1	Neoplastic Process
0.72177	0.31	C0001418	0.615	Transcription factor	3399	C04	group	Q02535	   Neoplasms	Adenocarcinoma		2001	CURATED	1.0	0.692	DTO_05007542	2011	ID3	Neoplastic Process
0.0018685	0.31	C0001418	0.338		348	C04	group	P02649	   Neoplasms	Adenocarcinoma		2009	CURATED	0.5	0.962		2011	APOE	Neoplastic Process
